Sample 12,,
Wavelength (nm),Intensity (a.u.),
220,13.33173561,
220.9299927,12.64967442,
222.0299988,13.53357887,
222.9600067,12.711339,
224.0599976,12.27617264,
225,11.83129215,
225.9299927,11.08184814,
227.0299988,10.68655396,
227.9600067,9.443983078,
229.0599976,8.218385696,
230,7.29407835,
230.9299927,6.505208969,
232.0299988,5.34410429,
232.9600067,4.472531319,
234.0599976,3.680472136,
235,2.887893915,
235.9299927,2.24654007,
237.0299988,1.84791398,
237.9600067,1.454386234,
239.0599976,1.062969804,
240,0.9325021505,
240.9299927,0.750962019,
242.0299988,0.7909637094,
242.9600067,0.7350828648,
244.0599976,0.676938355,
245,0.5720766783,
245.9299927,0.595541954,
247.0299988,0.5885396004,
247.9600067,0.5925124884,
249.0599976,0.6084324121,
250,0.6863400936,
250.9299927,0.8265288472,
252.0299988,0.7978245616,
252.9600067,0.6874517798,
254.0599976,0.8452761173,
255,0.9245810509,
255.9299927,0.9384360313,
257.0299988,1.315991521,
257.9599915,2.142870903,
259.0599976,3.577814341,
260,5.766738415,
261.0700073,9.115199089,
262,12.57953167,
263.0700073,17.68279648,
264,20.99597931,
265.0700073,23.29359055,
266,23.94234467,
267.0700073,23.99534607,
268,24.67844963,
269.0700073,27.19143677,
270,35.72637177,
270.9299927,48.89333344,
272.0299988,69.99423981,
272.9599915,86.40572357,
274.0599976,98.45517731,
275,98.33773804,
275.9299927,86.48558044,
277.0299988,63.04969025,
277.9599915,44.1336441,
279.0599976,31.5906105,
280,25.66063881,
280.9299927,23.71750259,
282.0299988,23.48404312,
282.9599915,23.74988174,
284.0599976,23.37752533,
285,22.89326668,
285.9299927,22.74773026,
287.0299988,22.67653084,
287.9599915,22.5804863,
289.0599976,22.78619576,
290,22.86415672,
291.0700073,22.5426693,
292,22.85902023,
293.0700073,23.2948494,
294,23.1162014,
295.0700073,24.17426491,
296,23.96071434,
297.0700073,24.02386284,
298,23.83596611,
299.0700073,23.94135094,
300,23.9926796,
300.9299927,24.49146652,
302.0299988,24.76681709,
302.9599915,24.42540359,
304.0599976,24.45352936,
305,25.05305672,
305.9299927,25.56578827,
307.0299988,25.25087929,
307.9599915,25.11612129,
309.0599976,25.29362297,
310,24.62709236,
311.0700073,24.16244316,
312,24.61351013,
313.0700073,23.98760605,
314,23.81048584,
315.0700073,23.43118668,
316,23.22597885,
317.0700073,23.06395149,
318,22.97434235,
319.0700073,22.83909607,
320,23.12532425,
321.0700073,22.70709038,
322,23.25611687,
323.0700073,22.77897453,
324,21.38781357,
325.0700073,21.42730331,
326,21.03298378,
327.0700073,20.81881523,
328,20.3292942,
329.0700073,19.51388931,
330,18.08350372,
330.9299927,16.11693954,
332.0299988,14.38430405,
332.9599915,12.51995659,
334.0599976,10.81838226,
335,9.646568298,
335.9299927,8.983420372,
337.0299988,7.3881073,
337.9599915,7.439621925,
339.0599976,6.708348274,
340,6.629351139,
341.0700073,6.152579784,
342,6.357787609,
343.0700073,6.341452599,
344,6.128333569,
345.0700073,6.287474155,
346,6.274981499,
347.0700073,6.462160587,
348,6.35640955,
349.0700073,6.813076496,
350,7.02372551,
351.0700073,7.110231876,
352,6.988728523,
353.0700073,7.523898125,
354,6.911347866,
355.0700073,7.390978336,
356,7.39679718,
357.0700073,7.61244297,
358,7.620536327,
359.0700073,8.12694931,
360,7.929383755,
361.0700073,7.727313042,
362,7.694048882,
363.0700073,7.63899374,
364,7.535383701,
365.0700073,7.85092926,
366,7.80350256,
367.0700073,7.895801067,
368,8.218625069,
369.0700073,8.062912941,
370,8.237201691,
371.0599976,8.350034714,
371.9599915,8.50345993,
373.0299988,8.573564529,
373.9299927,8.920077324,
375,8.990087509,
376.0599976,9.123345375,
376.9599915,8.883275032,
378.0299988,8.686468124,
378.9299927,8.433386803,
380,8.551060677,
381.0700073,8.688410759,
382,8.430898666,
383.0700073,8.628648758,
384,8.595487595,
385.0700073,8.223869324,
386,8.278516769,
387.0700073,8.394253731,
388,8.176641464,
389.0700073,8.32978344,
390,8.114161491,
391.0700073,8.2474823,
392,8.193553925,
393.0700073,7.866225243,
394,7.926279545,
395.0700073,7.892772675,
396,7.776077747,
397.0700073,7.808986187,
398,7.809866905,
399.0700073,7.504643917,
400,7.661935806,
401.0599976,7.688127995,
401.9599915,7.281584263,
403.0299988,6.924842358,
403.9299927,6.916377544,
405,6.626768589,
406.0599976,6.378471375,
406.9599915,6.009608746,
408.0299988,5.875648499,
408.9299927,5.885371685,
410,5.74821043,
411.0700073,5.54428339,
412,5.412304401,
413.0700073,5.412683964,
414,5.22217226,
415.0700073,5.252522945,
416,5.076958656,
417.0700073,4.851704121,
418,4.815499783,
419.0700073,4.725441456,
420,4.503036022,
421.0599976,4.282640934,
421.9599915,4.203431129,
423.0299988,3.889508247,
423.9299927,3.849494934,
425,3.682026148,
426.0599976,3.536547899,
426.9599915,3.346465349,
428.0299988,3.103305817,
428.9299927,3.005662918,
430,2.768382072,
431.0599976,2.74778223,
431.9599915,2.555991411,
433.0299988,2.360434771,
433.9299927,2.212916851,
435,2.113172293,
436.0599976,2.034341812,
436.9599915,1.941354156,
438.0299988,1.797351599,
438.9299927,1.679463029,
440,1.542498827,
441.0599976,1.460182905,
441.9599915,1.388832808,
443.0299988,1.261225224,
443.9299927,1.266875386,
445,1.18488431,
446.0599976,1.130740523,
446.9599915,1.048533797,
448.0299988,0.9614764452,
448.9299927,0.9448882937,
450,0.9131006598,
451.0599976,0.8374128342,
451.9599915,0.7690597177,
453.0299988,0.7663348317,
453.9299927,0.6763833165,
455,0.6380515099,
456.0599976,0.6366738677,
456.9599915,0.5913344026,
458.0299988,0.5407165289,
458.9299927,0.5517150164,
460,0.5406070948,
461.0599976,0.5520842075,
461.9599915,0.5933029056,
463.0299988,0.6327187419,
463.9299927,0.6190266013,
465,0.6475268602,
466.0599976,0.6222686172,
466.9599915,0.6625666022,
468.0299988,0.6005336642,
468.9299927,0.6866557002,
470,0.8666320443,
471.0400085,1.20744586,
471.9400024,1.550697446,
472.980011,1.854176283,
474.019989,1.991714358,
475.0700073,1.987213969,
475.9700012,1.741662383,
477.0100098,1.286099076,
478.0499878,0.8505615592,
478.9500122,0.6463117003,
480,0.4341011345,
481.0599976,0.3041912317,
481.9599915,0.2206026912,
483.0299988,0.2203854024,
483.9299927,0.175990507,
485,0.176256448,
486.0599976,0.1526979357,
486.9599915,0.15572685,
488.0299988,0.1499884576,
488.9299927,0.1411786079,
490,0.1628646851,
491.0400085,0.1832562238,
491.9400024,0.2046766728,
492.980011,0.1591624767,
494.019989,0.200105682,
495.0700073,0.1962969303,
495.9700012,0.2095961124,
497.0100098,0.1879636794,
498.0499878,0.2505507767,
498.9500122,0.2630234063,
500,0.2175105214,
501.0599976,0.2692040205,
501.9599915,0.2602253854,
503.0299988,0.2670069039,
503.9299927,0.2966270149,
505,0.3059262633,
506.0599976,0.3100698888,
506.9599915,0.3772600591,
508.0299988,0.4594790936,
508.9299927,0.4239438176,
510,0.4742409289,
511.0400085,0.4811750948,
511.9400024,0.4958269894,
512.9799805,0.4036531746,
514.0200195,0.4218429327,
515.0700073,0.3926450908,
515.9699707,0.4316641092,
517.0100098,0.3713508248,
518.0499878,0.3694220185,
518.9500122,0.4446002245,
520,0.4226575494,
521.039978,0.4859514534,
521.9400024,0.4758223295,
522.9799805,0.5737768412,
524.0200195,0.5118632317,
525.0700073,0.4619437754,
525.9699707,0.4418091774,
527.0100098,0.406203717,
528.0499878,0.3798330724,
528.9500122,0.3939736187,
530,0.3428304791,
531.0200195,0.3541220129,
532.0499878,0.347866267,
532.9400024,0.3523793221,
533.9699707,0.4050278366,
535,0.4317842126,
536.0200195,0.4262626767,
537.0499878,0.4845466316,
537.9400024,0.5100861192,
538.9699707,0.6203538775,
540,0.5965046883,
541.039978,0.6907457709,
541.9400024,0.7293877602,

Sample 12,
Sample 12
Collection Time: 27/06/2023 5:38:26 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         542.00
Em. Wavelength (nm)               552.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                60.00
Data interval (nm)                1.0000
Averaging Time (s)                1.0000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 27/06/2023 4:28:13 PM
Method Modifications:
Overlayed Graphs Changed: 27/06/2023 4:58:13 PM, Old:OFF, New:ON
PMT Volts Changed: 27/06/2023 4:58:13 PM, Old:600, New:800
Emission PMT (V): Changed: 27/06/2023 4:58:13 PM, Old: 600, New: 800
Excitation Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 350.00, New: 375.00
Emission Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 400.00, New: 385.00
Scan Control Changed: 27/06/2023 4:58:47 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 27/06/2023 4:58:47 PM, Old:0.10000, New:0.50000
Scan Control Changed: 27/06/2023 4:59:39 PM, Old:Slow, New:Manual
Ave. time (s): Changed: 27/06/2023 4:59:39 PM, Old:0.50000, New:0.20000
Stop Wavelength Changed: 27/06/2023 4:59:46 PM, Old: 600.00, New: 650.00
Ave. time (s): Changed: 27/06/2023 5:00:03 PM, Old:0.20000, New:1.00000
Scan mode: Changed: 27/06/2023 5:12:38 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 27/06/2023 5:12:38 PM, Old: 450.00, New: 465.00
User Delta Increment Changed: 27/06/2023 5:12:38 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 375.00, New: 220.00
Emission Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 385.00, New: 465.00
Stop Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 650.00, New: 455.00
Scan mode: Changed: 27/06/2023 5:24:45 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 27/06/2023 5:24:45 PM, Old: 220.00, New: 375.00
Emission Wavelength Changed: 27/06/2023 5:24:45 PM, Old: 465.00, New: 385.00
Stop Wavelength Changed: 27/06/2023 5:24:45 PM, Old: 455.00, New: 650.00
Emission Wavelength Changed: 27/06/2023 5:28:51 PM, Old: 385.00, New: 450.00
Stop Wavelength Changed: 27/06/2023 5:28:51 PM, Old: 650.00, New: 750.00
Ave. time (s): Changed: 27/06/2023 5:34:28 PM, Old:1.00000, New:0.20000
Ave. time (s): Changed: 27/06/2023 5:34:51 PM, Old:0.20000, New:0.50000
Scan mode: Changed: 27/06/2023 5:37:57 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 27/06/2023 5:37:57 PM, Old: 465.00, New: 552.00
Ave. time (s): Changed: 27/06/2023 5:37:57 PM, Old:0.50000, New:1.00000
Excitation Wavelength Changed: 27/06/2023 5:37:57 PM, Old: 375.00, New: 220.00
Emission Wavelength Changed: 27/06/2023 5:37:57 PM, Old: 450.00, New: 552.00
Stop Wavelength Changed: 27/06/2023 5:37:57 PM, Old: 750.00, New: 542.00
End Method Modifications

