Sample 28,,
Wavelength (nm),Intensity (a.u.),
336.9200134,2.667660236,
337.8399963,1.83905983,
338.9200134,1.361571193,
339.8399963,1.334592938,
340.9200134,1.683865786,
341.8399963,1.632430911,
342.9200134,1.915297866,
343.8399963,1.915912747,
344.9200134,1.978901863,
345.8399963,2.2248137,
346.9200134,2.004340172,
347.8399963,2.345366716,
348.9200134,2.204362869,
349.8399963,2.051835775,
350.8999939,1.889923453,
351.9599915,2.069555759,
352.8699951,2.073935032,
353.9299927,2.000923395,
354.8399963,1.888234496,
355.8999939,1.809898257,
356.9599915,1.740325093,
357.8699951,2.06528759,
358.9299927,2.2064569,
359.8399963,2.425693989,
360.9200134,2.553024292,
361.8399963,2.892140388,
362.9200134,3.285231829,
363.8399963,3.428158998,
364.9200134,3.300180197,
365.8399963,3.504655123,
366.9200134,3.725409985,
367.8399963,3.378122568,
368.9200134,3.154086351,
369.8399963,2.819692135,
370.8999939,2.889183283,
371.9599915,2.620537043,
372.8699951,2.846226215,
373.9299927,3.139382362,
374.8399963,2.858460188,
375.8999939,3.09088707,
376.9599915,3.021793365,
377.8699951,3.182144165,
378.9299927,3.303380728,
379.8399963,3.526071548,
380.9200134,3.77347064,
381.8399963,3.766535044,
382.9200134,3.81097579,
383.8399963,3.968852997,
384.9200134,3.993232727,
385.8399963,3.943098307,
386.9200134,4.108513355,
387.8399963,3.957723618,
388.9200134,4.302633762,
389.8399963,4.159556389,
390.8999939,4.485323906,
391.9599915,4.176728725,
392.8699951,4.386656761,
393.9299927,4.240966797,
394.8399963,4.303903103,
395.8999939,4.364438534,
396.9599915,4.234079838,
397.8699951,4.436543941,
398.9299927,4.297670364,
399.8399963,4.357165813,
400.8999939,4.313487053,
401.9599915,4.041891575,
402.8699951,4.202524662,
403.9299927,4.061639786,
404.8399963,4.361099243,
405.8999939,3.985150337,
406.9599915,4.036970139,
407.8699951,4.13455534,
408.9299927,4.034414768,
409.8399963,3.699099302,
410.8999939,3.745318413,
411.9599915,3.682732582,
412.8699951,3.703647614,
413.9299927,3.563879728,
414.8399963,3.521126747,
415.8999939,3.480012655,
416.9599915,3.331379652,
417.8699951,3.482085705,
418.9299927,3.362166405,
419.8399963,3.083667278,
420.8999939,3.225611925,
421.9599915,3.133010626,
422.8699951,3.051961422,
423.9299927,2.86372304,
424.8399963,2.914747477,
425.8999939,2.915806055,
426.9599915,2.731628656,
427.8699951,2.893930435,
428.9299927,2.711389542,
429.8399963,2.599059105,
430.8900146,2.584257603,
431.9400024,2.533757687,
432.980011,2.273939133,
433.8800049,2.413024187,
434.9200134,2.46294117,
435.9700012,2.237576008,
436.8599854,2.071696043,
437.9100037,2.098555326,
438.9500122,2.050732136,
439.8500061,2.11507225,
440.8999939,1.94585073,
441.9599915,1.881351471,
442.8699951,1.916553855,
443.9299927,1.64065063,
444.8399963,1.782284737,
445.8999939,1.86458993,
446.9599915,1.637653947,
447.8699951,1.660720944,
448.9299927,1.555209994,
449.8399963,1.625762105,
450.8999939,1.751587391,
451.9599915,1.437981248,
452.8699951,1.501843214,
453.9299927,1.393826485,
454.8399963,1.489962339,
455.8999939,1.641077399,
456.9599915,1.358192444,
457.8699951,1.28800416,
458.9299927,1.27462709,
459.8399963,1.554755092,
460.8900146,1.368074059,
461.9400024,1.349485874,
462.980011,1.280136466,
463.8800049,1.166334987,
464.9200134,1.019053221,
465.9700012,1.126760602,
466.8599854,1.155766487,
467.9100037,1.145942807,
468.9500122,1.189251781,
469.8500061,0.9333704114,
470.8900146,1.004677534,
471.9400024,1.031042337,
472.980011,0.996078968,
473.8800049,1.089668751,
474.9200134,0.9054540992,
475.9700012,0.8046575189,
476.8599854,0.7868958116,
477.9100037,0.8382099271,
478.9500122,0.815162003,
479.8500061,0.995685339,
480.8900146,0.7991433144,
481.9400024,0.6518179178,
482.980011,0.7104403377,
483.8800049,0.7688364983,
484.9200134,0.6269395947,
485.9700012,0.6764516234,
486.8599854,0.5288800597,
487.9100037,0.6509900093,
488.9500122,0.7868958116,
489.8500061,0.5841674805,
490.8900146,0.6223569512,
491.9400024,0.5478922129,
492.980011,0.424164325,
493.8800049,0.6043737531,
494.9200134,0.4640222788,
495.9700012,0.6220095754,
496.8599854,0.5566120744,
497.9100037,0.4398004115,
498.9500122,0.5012688637,
499.8500061,0.5000681877,
500.8900146,0.4743179977,
501.9400024,0.3844556808,
502.980011,0.3928323388,
503.8800049,0.5109071136,
504.9200134,0.5357825756,
505.9700012,0.4000923336,
506.8599854,0.4603910148,
507.9100037,0.4430730045,
508.9500122,0.3698509932,
509.8500061,0.3362731636,
510.8900146,0.4422349632,
511.9400024,0.3870628178,
512.9799805,0.368216753,
513.8800049,0.2760312855,
514.9199829,0.2828543186,
515.9699707,0.3749472797,
516.8599854,0.3649461567,
517.9099731,0.3384094834,
518.9500122,0.1550099254,
519.8499756,0.1828209162,
520.8800049,0.4484929144,
521.9099731,0.1992494911,
522.9400024,0.3426043987,
523.9699707,0.2671733201,
524.8499756,0.2290705889,
525.8800049,0.2000153959,
526.9099731,0.3222588897,
527.9400024,0.1698999107,
528.9699707,0.2735770345,
529.8499756,0.248177439,
530.8900146,0.2068120688,
531.9400024,0.152564615,
532.9799805,0.3199561238,
533.8800049,0.2420721501,
534.9199829,0.1997633576,
535.9699707,0.136900872,
536.8599854,0.340130806,
537.9099731,0.2046728283,
538.9500122,0.2199632227,
539.8499756,0.1084094793,
540.8800049,0.0766389221,
541.9099731,0.1677929163,
542.9400024,0.1554533094,
543.9699707,0.2296422124,
544.8499756,0.2238746285,
545.8800049,0.3482886255,
546.9099731,0.2142671347,
547.9400024,0.2844545543,
548.9699707,0.3192702532,
549.8499756,0.06036916003,
550.8800049,0.1363719106,
551.9099731,0.09119511396,
552.9400024,0.1245077997,
553.9699707,0.1216138154,
554.8499756,0.2291265726,
555.8800049,0.1527510434,
556.9099731,0.2582017183,
557.9400024,0.1682651937,
558.9699707,0.04600239173,
559.8499756,0.1405700892,
560.8800049,0.2315636724,
561.9099731,0.1370134056,
562.9400024,0.06033546478,
563.9699707,0,
564.8499756,0.03048129939,
565.8800049,0.2587676644,
566.9099731,0.2890657187,
567.9400024,0.1057306007,
568.9699707,0.1493295133,
569.8499756,0.2284739465,
570.8599854,0.01524134632,
571.8800049,0.2159693986,
572.8900146,0.1518902779,
573.9099731,0,
574.9199829,0.2586062849,
575.9400024,0.2601098716,
576.9500122,0.1053518727,
577.9699707,0.04602215439,
578.9799805,0.1212194711,
579.8499756,0.06122105569,
580.8800049,0.10636843,
581.9099731,0.1396951526,
582.9400024,0.158828482,
583.9699707,0.1359906942,
584.8499756,0.149830699,
585.8800049,0.1383912712,
586.9099731,0,
587.9400024,0.1656851023,
588.9699707,-0.105010502,
589.8499756,0.03050640598,
590.8599854,0.3008559346,
591.8800049,0.1375726163,
592.8900146,0.1533883512,
593.9099731,0.1513248384,
594.9199829,0.1499227881,
595.9400024,0.1498419195,
596.9500122,0.10407684,
597.9699707,0.01511076186,
598.9799805,0.1056444272,
599.8499756,0.1966836154,
600.8599854,0.225900203,

Sample 28,
Sample 28
Collection Time: 5/05/2023 4:32:41 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        337.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               327.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/05/2023 1:46:27 PM
Method Modifications:
User Delta Stop Changed: 5/05/2023 2:37:38 PM, Old: 450.00, New: 690.00
User Delta Increment Changed: 5/05/2023 2:37:38 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 350.00, New: 690.00
Emission Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 400.00, New: 700.00
Stop Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 5/05/2023 2:38:01 PM, Old: 690.00, New: 630.00
Emission Wavelength Changed: 5/05/2023 2:38:01 PM, Old: 700.00, New: 640.00
Overlayed Graphs Changed: 5/05/2023 2:38:31 PM, Old:OFF, New:ON
Scan mode: Changed: 5/05/2023 2:40:13 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 5/05/2023 2:40:13 PM, Old: 690.00, New: 780.00
Excitation Wavelength Changed: 5/05/2023 2:40:13 PM, Old: 630.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 2:40:13 PM, Old: 640.00, New: 780.00
Stop Wavelength Changed: 5/05/2023 2:40:13 PM, Old: 850.00, New: 770.00
Scan mode: Changed: 5/05/2023 2:52:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 2:52:20 PM, Old: 220.00, New: 566.00
Emission Wavelength Changed: 5/05/2023 2:52:20 PM, Old: 780.00, New: 576.00
Stop Wavelength Changed: 5/05/2023 2:52:20 PM, Old: 770.00, New: 850.00
Excitation Wavelength Changed: 5/05/2023 2:53:03 PM, Old: 566.00, New: 500.00
Emission Wavelength Changed: 5/05/2023 2:53:03 PM, Old: 576.00, New: 510.00
Scan mode: Changed: 5/05/2023 2:55:50 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 2:55:50 PM, Old: 500.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 2:55:50 PM, Old: 510.00, New: 613.00
Stop Wavelength Changed: 5/05/2023 2:55:50 PM, Old: 850.00, New: 605.00
Emission Wavelength Changed: 5/05/2023 2:56:46 PM, Old: 613.00, New: 625.00
Stop Wavelength Changed: 5/05/2023 2:56:46 PM, Old: 605.00, New: 615.00
Scan mode: Changed: 5/05/2023 3:10:55 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 3:10:55 PM, Old: 220.00, New: 542.00
Emission Wavelength Changed: 5/05/2023 3:10:55 PM, Old: 625.00, New: 552.00
Stop Wavelength Changed: 5/05/2023 3:10:55 PM, Old: 615.00, New: 800.00
Scan mode: Changed: 5/05/2023 3:23:18 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 3:23:18 PM, Old: 542.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 3:23:18 PM, Old: 552.00, New: 640.00
Stop Wavelength Changed: 5/05/2023 3:23:18 PM, Old: 800.00, New: 630.00
Scan mode: Changed: 5/05/2023 3:39:01 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 3:39:01 PM, Old: 220.00, New: 460.00
Emission Wavelength Changed: 5/05/2023 3:39:01 PM, Old: 640.00, New: 470.00
Stop Wavelength Changed: 5/05/2023 3:39:01 PM, Old: 630.00, New: 700.00
Scan mode: Changed: 5/05/2023 3:41:10 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 3:41:10 PM, Old: 460.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 3:41:10 PM, Old: 470.00, New: 540.00
Stop Wavelength Changed: 5/05/2023 3:41:10 PM, Old: 700.00, New: 530.00
Emission Wavelength Changed: 5/05/2023 3:42:01 PM, Old: 540.00, New: 580.00
Stop Wavelength Changed: 5/05/2023 3:42:01 PM, Old: 530.00, New: 570.00
Excitation Wavelength Changed: 5/05/2023 3:42:20 PM, Old: 220.00, New: 390.00
Excitation Wavelength Changed: 5/05/2023 3:42:26 PM, Old: 390.00, New: 220.00
Scan mode: Changed: 5/05/2023 4:19:33 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 4:19:33 PM, Old: 220.00, New: 365.00
Emission Wavelength Changed: 5/05/2023 4:19:33 PM, Old: 580.00, New: 370.00
Stop Wavelength Changed: 5/05/2023 4:19:33 PM, Old: 570.00, New: 600.00
Excitation Wavelength Changed: 5/05/2023 4:20:26 PM, Old: 365.00, New: 320.00
Emission Wavelength Changed: 5/05/2023 4:20:26 PM, Old: 370.00, New: 330.00
Scan mode: Changed: 5/05/2023 4:22:22 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 4:22:22 PM, Old: 320.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 4:22:22 PM, Old: 330.00, New: 500.00
Stop Wavelength Changed: 5/05/2023 4:22:22 PM, Old: 600.00, New: 490.00
Scan mode: Changed: 5/05/2023 4:30:21 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 4:30:21 PM, Old: 220.00, New: 320.00
Emission Wavelength Changed: 5/05/2023 4:30:21 PM, Old: 500.00, New: 330.00
Stop Wavelength Changed: 5/05/2023 4:30:21 PM, Old: 490.00, New: 600.00
Excitation Wavelength Changed: 5/05/2023 4:31:31 PM, Old: 320.00, New: 327.00
Emission Wavelength Changed: 5/05/2023 4:31:31 PM, Old: 330.00, New: 337.00
End Method Modifications

